                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6389,                0.88051,                 1.0048,                0.82646,                0.85723,                0.88031,                0.35289,                 1.6389,                0.95484,                0.98454,             0.00073181,             0.00073181,             0.00073181
                     36,                 1.6456,                0.87226,                 1.0098,                0.82707,                0.81306,                0.86682,                0.32989,                 1.6882,                0.98676,                 1.0187,             0.00070431,             0.00070431,             0.00070431
                     37,                 1.6346,                0.87433,                0.99602,                0.85288,                0.81164,                0.88796,                0.34322,                 1.6735,                0.99639,                0.99985,              0.0006768,              0.0006768,              0.0006768
                     38,                  1.572,                0.85054,                0.97854,                0.90238,                   0.85,                0.90756,                0.33075,                 1.6478,                0.98388,                 1.0059,              0.0006493,              0.0006493,              0.0006493
                     39,                 1.6086,                0.88221,                 1.0005,                0.85997,                   0.81,                0.87831,                0.34043,                 1.6303,                0.96143,                0.99374,             0.00062179,             0.00062179,             0.00062179
                     40,                 1.5866,                0.85342,                0.98626,                0.89025,                0.81114,                0.89659,                0.31733,                 1.6836,                0.96083,                 1.0153,             0.00059429,             0.00059429,             0.00059429
                     41,                 1.5815,                0.85894,                0.99696,                0.88511,                   0.86,                0.91123,                0.32718,                 1.7168,                0.94559,                 1.0128,             0.00056678,             0.00056678,             0.00056678
                     42,                 1.5479,                0.84635,                0.98156,                0.82801,                   0.85,                0.84123,                0.35657,                 1.6519,                0.93884,                0.99193,             0.00053927,             0.00053927,             0.00053927
                     43,                 1.5604,                0.84062,                0.98155,                 0.7964,                0.89967,                0.87137,                 0.3386,                  1.679,                0.99136,                 1.0238,             0.00051177,             0.00051177,             0.00051177
                     44,                  1.547,                0.86282,                0.98947,                0.81122,                   0.87,                0.89009,                0.35848,                 1.6696,                0.92258,                0.99402,             0.00048426,             0.00048426,             0.00048426
                     45,                 1.5814,                0.86186,                0.99142,                0.88554,                   0.83,                0.89139,                 0.3562,                 1.6288,                0.94418,                0.99594,             0.00045676,             0.00045676,             0.00045676
                     46,                 1.5118,                0.84439,                0.98251,                0.79044,                   0.85,                0.82454,                0.34918,                  1.635,                0.93632,                0.99906,             0.00042925,             0.00042925,             0.00042925
                     47,                 1.5309,                0.82707,                0.97633,                0.84889,                   0.91,                0.89936,                0.35791,                 1.5833,                0.90379,                0.97863,             0.00040175,             0.00040175,             0.00040175
                     48,                   1.54,                0.84041,                0.97394,                0.79075,                   0.92,                0.88865,                0.36382,                 1.5974,                0.94227,                0.98876,             0.00037424,             0.00037424,             0.00037424
                     49,                  1.484,                0.82439,                0.97715,                0.81494,                 0.9248,                0.89457,                0.35547,                 1.5758,                0.91827,                0.97552,             0.00034674,             0.00034674,             0.00034674
                     50,                 1.5193,                0.83733,                 0.9729,                 0.7682,                 0.8948,                0.79082,                0.32291,                 1.6867,                0.98757,                 1.0103,             0.00031923,             0.00031923,             0.00031923
                     51,                 1.4265,                0.83051,                  0.994,                0.82382,                0.88848,                0.87388,                0.32983,                 1.6731,                0.96656,                  1.006,             0.00029172,             0.00029172,             0.00029172
                     52,                 1.4372,                0.80939,                0.99843,                0.84408,                   0.93,                0.88362,                 0.3717,                 1.5712,                0.92325,                0.98022,             0.00026422,             0.00026422,             0.00026422
                     53,                 1.4399,                 0.8161,                 0.9963,                0.85619,                0.89305,                0.88533,                0.35973,                 1.5633,                0.95213,                0.97688,             0.00023671,             0.00023671,             0.00023671
                     54,                 1.4231,                0.80704,                0.97765,                0.84901,                    0.9,                0.89817,                0.34129,                  1.559,                0.94582,                0.98085,             0.00020921,             0.00020921,             0.00020921
                     55,                  1.377,                0.79136,                0.97832,                0.83854,                0.88289,                0.89091,                0.35616,                 1.5359,                0.92537,                 0.9713,              0.0001817,              0.0001817,              0.0001817
                     56,                   1.42,                0.80641,                 1.0007,                0.85144,                   0.88,                0.89767,                0.37433,                 1.5099,                0.91209,                0.97309,              0.0001542,              0.0001542,              0.0001542
                     57,                 1.4073,                0.80339,                0.99541,                0.87846,                   0.86,                0.90583,                0.36164,                 1.5448,                0.92106,                 0.9784,             0.00012669,             0.00012669,             0.00012669
                     58,                 1.3951,                0.79414,                0.98742,                0.88028,                   0.86,                0.89636,                0.34089,                 1.5452,                0.93297,                0.98591,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     59,                 1.4021,                0.79773,                0.99797,                0.84674,                   0.88,                 0.8993,                0.34909,                 1.5292,                0.93406,                0.98144,             7.1681e-05,             7.1681e-05,             7.1681e-05
                     60,                 1.3655,                0.78781,                0.97388,                0.82978,                   0.91,                0.89549,                0.36177,                  1.513,                 0.9195,                0.97251,             4.4176e-05,             4.4176e-05,             4.4176e-05
